dest_ip,metadata_comment
107.189.30.0/23,AS53667 IPv4
2a06:de05:624f::/48,AS53667 IPv6
2a06:de05:6153::/48,AS53667 IPv6
2a06:de05:61a5::/48,AS53667 IPv6
2a06:de05:63e6::/48,AS53667 IPv6
2a06:de05:6226::/48,AS53667 IPv6
2a06:de05:6335::/48,AS53667 IPv6
2a06:de05:63d5::/48,AS53667 IPv6
2a06:de05:6250::/48,AS53667 IPv6
2a06:de05:625e::/48,AS53667 IPv6
2a06:de05:620f::/48,AS53667 IPv6
2a06:de05:60b9::/48,AS53667 IPv6
2a06:de05:6372::/48,AS53667 IPv6
2a06:de05:60e2::/48,AS53667 IPv6
2a14:7581:d101::/48,AS53667 IPv6
2a06:de05:609d::/48,AS53667 IPv6
104.244.77.0/24,AS53667 IPv4
2a06:de05:61ee::/48,AS53667 IPv6
2a06:de05:6280::/48,AS53667 IPv6
2a06:de05:628b::/48,AS53667 IPv6
2a06:de05:6093::/48,AS53667 IPv6
167.88.161.0/24,AS53667 IPv4
2a06:de05:6313::/48,AS53667 IPv6
2a06:de05:632a::/48,AS53667 IPv6
2a06:de05:6199::/48,AS53667 IPv6
2a06:de05:6391::/48,AS53667 IPv6
45.61.184.0/22,AS53667 IPv4
107.189.8.0/22,AS53667 IPv4
2a06:de05:60dc::/48,AS53667 IPv6
2a06:de05:6296::/48,AS53667 IPv6
2a06:de05:62b0::/48,AS53667 IPv6
2a06:de05:6382::/48,AS53667 IPv6
2a0f:9400:6904::/48,AS53667 IPv6
104.244.78.0/24,AS53667 IPv4
2a06:de05:61fa::/48,AS53667 IPv6
2a06:de05:61a9::/48,AS53667 IPv6
2a06:de05:62dd::/48,AS53667 IPv6
2605:6400:1::/48,AS53667 IPv6
2a06:de05:61f0::/48,AS53667 IPv6
198.251.87.0/24,AS53667 IPv4
104.244.79.0/24,AS53667 IPv4
2a06:de05:621c::/48,AS53667 IPv6
2a0f:9400:6a80::/48,AS53667 IPv6
2a06:de05:6107::/48,AS53667 IPv6
23.183.81.0/24,AS53667 IPv4
23.183.83.0/24,AS53667 IPv4
2a06:de05:63c2::/48,AS53667 IPv6
2a06:de05:60a5::/48,AS53667 IPv6
2a06:de05:6008::/48,AS53667 IPv6
2a06:de05:61c9::/48,AS53667 IPv6
2a06:de05:6340::/48,AS53667 IPv6
2a06:de05:6312::/48,AS53667 IPv6
2a06:de05:61a2::/48,AS53667 IPv6
2a06:de05:63aa::/48,AS53667 IPv6
2a06:de05:6007::/48,AS53667 IPv6
198.251.80.0/24,AS53667 IPv4
2a06:de05:6339::/48,AS53667 IPv6
107.189.12.0/24,AS53667 IPv4
2a06:de05:6131::/48,AS53667 IPv6
2605:6400:9002::/48,AS53667 IPv6
2a06:de05:60de::/48,AS53667 IPv6
209.141.38.0/24,AS53667 IPv4
198.251.90.0/24,AS53667 IPv4
2605:6404::/32,AS53667 IPv6
2a06:de05:6036::/48,AS53667 IPv6
2a06:de05:61e1::/48,AS53667 IPv6
2a06:de05:60a3::/48,AS53667 IPv6
2a06:de05:61a7::/48,AS53667 IPv6
2a06:de05:6388::/48,AS53667 IPv6
2a06:de05:61de::/48,AS53667 IPv6
107.189.9.0/24,AS53667 IPv4
2a06:de05:62f4::/48,AS53667 IPv6
2a14:7581:d104::/48,AS53667 IPv6
2a06:de05:61c6::/48,AS53667 IPv6
2a06:de05:63f2::/48,AS53667 IPv6
2a14:7581:d102::/48,AS53667 IPv6
2a06:de05:62cc::/48,AS53667 IPv6
2a06:de05:61c2::/48,AS53667 IPv6
107.189.28.0/23,AS53667 IPv4
2a06:de05:6148::/48,AS53667 IPv6
2a06:de05:6342::/48,AS53667 IPv6
2a06:de05:63e0::/48,AS53667 IPv6
2a06:de05:6353::/48,AS53667 IPv6
2a06:de05:63c7::/48,AS53667 IPv6
2a06:de05:6012::/48,AS53667 IPv6
2a06:de05:60c1::/48,AS53667 IPv6
2a06:de05:610f::/48,AS53667 IPv6
2a06:de05:6150::/48,AS53667 IPv6
2a06:de05:6185::/48,AS53667 IPv6
2a09:7500::/29,AS53667 IPv6
2605:6400:1003::/48,AS53667 IPv6
2a06:de05:6343::/48,AS53667 IPv6
45.61.176.0/21,AS53667 IPv4
2a06:de05:60ff::/48,AS53667 IPv6
2a06:de05:6191::/48,AS53667 IPv6
45.61.191.0/24,AS53667 IPv4
2a06:de05:63c6::/48,AS53667 IPv6
198.251.88.0/24,AS53667 IPv4
2a06:de05:6196::/48,AS53667 IPv6
2a06:de05:63ac::/48,AS53667 IPv6
2a06:de05:6283::/48,AS53667 IPv6
2a06:de05:62ed::/48,AS53667 IPv6
2605:640f:18fc::/48,AS53667 IPv6
2602:fcd3:107::/48,AS53667 IPv6
104.244.74.0/24,AS53667 IPv4
2605:6400:1002::/48,AS53667 IPv6
2a06:de05:612d::/48,AS53667 IPv6
2a06:de05:6087::/48,AS53667 IPv6
2a06:de05:6123::/48,AS53667 IPv6
107.189.13.0/24,AS53667 IPv4
2a06:de05:6006::/48,AS53667 IPv6
2605:6400:1001::/48,AS53667 IPv6
2a06:de05:60ed::/48,AS53667 IPv6
2605:6400:300::/48,AS53667 IPv6
2a06:de05:60e6::/48,AS53667 IPv6
2a06:de05:6104::/48,AS53667 IPv6
2a06:de05:619d::/48,AS53667 IPv6
2602:2b7:c44::/48,AS53667 IPv6
2605:6400:2::/48,AS53667 IPv6
45.61.188.0/24,AS53667 IPv4
2a06:de05:6082::/48,AS53667 IPv6
2a06:de05:63a6::/48,AS53667 IPv6
107.189.0.0/21,AS53667 IPv4
2a06:de05:614a::/48,AS53667 IPv6
2a06:de05:6397::/48,AS53667 IPv6
2a06:de05:61d3::/48,AS53667 IPv6
199.19.224.0/22,AS53667 IPv4
198.98.48.0/20,AS53667 IPv4
2a06:de05:623e::/48,AS53667 IPv6
2a06:de05:6182::/48,AS53667 IPv6
2a06:de05:62ae::/48,AS53667 IPv6
2a06:de05:621a::/48,AS53667 IPv6
2a06:de05:6141::/48,AS53667 IPv6
2a06:de05:63fb::/48,AS53667 IPv6
2a06:de05:6059::/48,AS53667 IPv6
2a14:7581:d103::/48,AS53667 IPv6
